"Genename",Med(Ess(WT)) – Med(Ess(MT))
"FAM184B",0.007296352017151
"CASP3",0.007670963580975
"FBXO44",0.007787745727849
"TMEM182",0.007871282121358
"COL16A1",0.00804750392369
"MAP7D1",0.008103779810916
"HMGN4",0.008218910191532
"HSPB1",0.008222391712334
"IGFBP2",0.008443887137036
"RERGL",0.008805434950305
"RWDD3",0.009863379276042
"S1PR3",0.010098095146347
"WDR45B",0.010219571683949
"DGAT2",0.010545596674588
"ST3GAL5",0.011475274003929
"SPSB4",0.011780609107307
"NPTX2",0.012194472454794
"C3orf67",0.012672233087441
"ZXDC",0.012738103957398
"UGT1A1",0.012812502414893
"LIMS3",0.013371900283485
"NUTF2",0.013472970175727
"INHBA",0.013840627168211
"NPTXR",0.013911057913662
"STK10",0.014727204749524
"POLDIP3",0.014757979644592
"EID2",0.015026612239122
"ZNF814",0.015119982163659
"PANX2",0.01512722111308
"GALNT3",0.01528262512931
"LMNB1",0.015449156823527
"SLC30A1",0.015985313287057
"RFX4",0.016100629346001
"RAVER2",0.016328639841002
"PBXIP1",0.016331286766844
"PDZRN3",0.016568344038085
"RAPGEF3",0.017863592475173
"RAB38",0.018340134169568
"GAD2",0.018468704551498
"SLC24A2",0.018766754438982
"VWA1",0.019620841230712
"DUOX1",0.020026104735498
"TTC30B",0.02049550956669
"A1CF",0.02062543290159
"LSS",0.020989965187568
"PRMT8",0.022049651556068
"MAPK8IP1",0.022396215407284
"ANKRD37",0.023636489343779
"ZNF219",0.023784654845936
"DLG2",0.025043883605992
"KLF2",0.025415838787127
"MSGN1",0.025439177516535
"SNCAIP",0.025767185880706
"PURB",0.025936669592723
"FBRSL1",0.026496775858653
"IDUA",0.027014090084726
"TMPRSS11F",0.027295024731267
"ALPPL2",0.027469653756341
"STAP2",0.028155510865025
"TMPRSS9",0.028178029415777
"NR1I2",0.028420262221715
"SSUH2",0.029438630189507
"ANGEL2",0.029741965910379
"CASQ1",0.030027183044369
"GREM2",0.030143133246717
"GPR158",0.03014814246991
"ACSBG1",0.030239658798646
"FN1",0.030494823537927
"UTF1",0.030507484738166
"PPFIA2",0.032872260126964
"GSTM1",0.03292035768334
"CSMD2",0.033132238402118
"PRMT6",0.033554192430426
"STX1A",0.033675726866292
"IL1B",0.033853487161676
"OR51D1",0.034425809006548
"ELAVL4",0.035081975274397
"RASAL2",0.035457525724511
"COL6A1",0.035568878749904
"TLR5",0.035886929165859
"NAPA",0.03700068979898
"APOPT1",0.037419233102728
"GM2A",0.037778636844212
"BAIAP2L2",0.038302013676328
"ALDH8A1",0.038804513966676
"GMCL1",0.038967477871692
