Gene,WT q-value,WT log2 fold change,KRas mutant q-value,KRas mutant log2 fold change,Synthetic Lethal Score
RSAD1,1,-0.251143026,1,-0.791706711,0.540563684
DPH1,1,-0.39309314,1,-0.960150115,0.567056975
SNIP1,1,-0.382064644,0.581227,-1.204548136,0.822483492
EMC3,1,-0.324928047,0.911563,-1.11425101,0.789322964
MOG,1,-0.133902276,1,-1.004441169,0.870538894
CCDC130,1,-0.094418473,1,-0.790714802,0.696296329
ECT2,1,-0.135149207,1,-0.895637615,0.760488407
CHTF18,0.993451,-0.225341209,0.764431,-0.803208792,0.577867583
PDZD7,1,-0.163014828,1,-0.678251732,0.515236904
PTMA,1,-0.433719749,0.186411,-1.666950399,1.23323065
SAMD4B,1,-0.097199205,1,-0.688603769,0.591404564
ATXN7L3,1,0.135810149,1,-0.981473199,1.117283349
ZC3H10,1,-0.196756829,1,-0.883108898,0.686352069
CDK5RAP2,1,-0.208162814,0.508723,-1.092067674,0.883904861
NOSIP,1,-0.088418201,1,-0.736758818,0.648340617
DENR,1,-0.588506625,0.353612,-1.615622059,1.027115434
SCRIB,1,-0.108123445,1,-0.629051408,0.520927963
LEMD2,1,-0.175463949,1,-0.843811389,0.66834744
EIF2S2,1,-0.252967756,1,-1.488107672,1.235139917
BIN2,1,-0.268479089,0.521738,-0.799476447,0.530997358
NAA25,1,-0.578466854,0.405537,-1.555803231,0.977336377
YME1L1,1,0.13451166,1,-1.033129682,1.167641342
PSMG2,1,-0.40622914,0.575863,-0.90717857,0.50094943
LDB1,1,0.113744055,1,-0.899439199,1.013183254
CENPI,1,-0.50069119,0.366504,-1.176799642,0.676108452
ANKRD20A2,1,-0.449567312,0.889832,-1.038369191,0.588801879
SHOC2,1,0.122976397,1,-0.84791336,0.970889758
STRN,1,-0.271831024,0.545817,-0.957945108,0.686114084
RQCD1,1,0.433625187,1,-0.865638904,1.299264091
CWF19L1,0.620691,-0.077594975,1,-1.089853336,1.01225836
RBMX,1,-0.562323939,1,-1.092550758,0.530226819
INTS10,1,-0.076254287,1,-0.878220171,0.801965884
LRRC41,1,-0.103791843,1,-0.790589381,0.686797539
GTF2H2C,0.991929,-0.445363564,0.453174,-1.060503365,0.615139801
PRAMEF16,1,-0.289064276,0.949973,-0.813981291,0.524917015
TRA2B,1,-0.208303629,1,-0.909992208,0.701688578
EIF2S1,0.318445,-2.475629936,0.387378,-3.323539426,0.84790949
SRSF10,1,-0.494178741,1,-1.025171413,0.530992672
MED7,1,-0.695141986,0.379963,-1.354985072,0.659843086
MTG1,1,-0.013813423,1,-0.550893418,0.537079995
PCBP2,1,-0.289810207,0.448847,-1.047877407,0.7580672
ZNF511,1,0.062611635,1,-0.740220323,0.802831958
CTNNBL1,1,-0.808294945,0.350357,-1.469543194,0.661248249
RBM18,1,-0.005531364,1,-0.762280414,0.75674905
MINOS1,1,-0.156857642,1,-0.807009321,0.650151679
TAF13,1,-0.493724153,0.436432,-1.011800588,0.518076435
LENG1,1,-0.120147756,1,-0.838496698,0.718348942
ZFR,1,-0.270284696,1,-1.193701076,0.92341638
YLPM1,1,-0.514937934,1,-1.032249553,0.517311619
GOLGA6L6,0.853495,-0.167075478,0.985772,-0.667213427,0.500137949
MRPL47,1,-0.618113735,1,-1.152751131,0.534637396
BTAF1,1,-0.356555077,1,-1.124916005,0.768360928
CEP55,1,0.072001023,0.89536,-1.156539922,1.228540945
SNAPC1,1,-0.361785685,1,-0.944631158,0.582845473
KIAA0226,0.511119,-0.238128712,0.341296,-0.757152853,0.519024141
CTR9,1,-0.663363139,1,-1.319536712,0.656173573
TEAD1,1,0.097992051,1,-0.731039676,0.829031727
NOMO2,1,-0.17792307,1,-0.81140958,0.633486509
ATR,1,-0.458507918,0.290444,-1.573087794,1.114579877
MT2A,1,-0.097340338,1,-0.645154321,0.547813983
GTF2H2,1,-0.483095542,0.498466,-0.98650109,0.503405548
IKBKAP,1,-0.178250689,0.575023,-0.685057947,0.506807258
EEF1E1,1,-0.300802897,1,-1.15521835,0.854415453
PQBP1,1,-0.307124745,1,-1.012443308,0.705318563
WAPAL,1,-0.693638778,0.89536,-1.244947943,0.551309166
TCEAL4,0.479376,-0.433195943,0.322093,-1.021292163,0.588096219
MBD3L5,1,-0.272397306,1,-0.832103563,0.559706257
OTOF,0.479921,-0.28731885,0.991891,-0.791618499,0.504299648
CCDC6,1,0.351866749,1,-0.839691574,1.191558323
CWC25,1,-0.10258543,1,-0.775184459,0.672599029
NANOS1,1,-0.248158021,1,-0.778998806,0.530840785
SECISBP2,1,-0.042311317,0.60778,-0.64761549,0.605304173
MBD3L3,1,-0.245343412,1,-0.854837639,0.609494228
MBD3L4,1,-0.328732465,1,-0.869835287,0.541102821
TCEB3CL2,1,-0.117090369,1,-0.681498522,0.564408153
PHAX,0.440996,-0.174347616,0.594539,-0.675586378,0.501238762
BRCA2,1,-0.514416529,0.266526,-1.470177501,0.955760972
UPF2,0.680234,-0.475279782,1,-0.986970141,0.511690359
DPH3,0.504011,-0.899047097,0.353612,-1.532671319,0.633624223
CNNM4,0.767135,-0.057612214,0.40028,-0.904101556,0.846489342
PALB2,1,-0.382105363,1,-1.043375371,0.661270008
THAP1,1,-0.40370349,1,-1.204546749,0.800843259
RPL36AL,1,-0.21120973,0.505115,-0.867833993,0.656624263
MMS22L,1,-0.070830722,0.308277,-0.988295061,0.917464339
PLRG1,1,-0.655203507,0.474048,-1.312904347,0.65770084
RPL22L1,1,0.318528007,1,-0.686670119,1.005198127
MAD2L1BP,1,-0.191788861,1,-0.745008129,0.553219268
ZNF354C,1,-0.332490877,1,-0.841706667,0.50921579
CEP152,1,-0.200753619,1,-1.000125325,0.799371707
METTL16,1,-0.157180083,1,-0.972636379,0.815456296
ATAD5,1,-0.137751025,1,-0.7513708,0.613619776
XPOT,1,0.308248436,1,-1.087856291,1.396104727
EIF3L,1,-0.129407319,1,-0.748889026,0.619481707
FLII,1,-0.129918681,1,-0.645052465,0.515133784
DSN1,1,-0.14916774,0.933484,-0.757212634,0.608044895
SEC23IP,1,0.00648902,1,-0.608016336,0.614505357
ZNF407,1,-0.102112515,1,-0.603383736,0.50127122
KIAA0947,1,-0.529731106,1,-1.088658288,0.558927181
SAFB,1,-0.217218025,1,-0.872924203,0.655706178
NVL,0.212419,-0.458939183,1,-1.050727352,0.591788169
RBM26,0.64312,0.08028437,0.438677,-0.537490569,0.617774939
USP17L19,1,0.105970552,0.843842,-1.085576355,1.191546907
SERF1B,0.639745,-0.512659523,0.954162,-1.060860981,0.548201459
MRPL42,1,-0.183460971,1,-0.769484638,0.586023667
SMG7,1,-0.223834428,1,-0.794145661,0.570311233
AHCTF1,1,-0.611293113,1,-1.166687407,0.555394293
GAR1,1,-0.10406224,1,-0.643921962,0.539859722
