Gene,WT q-value,WT log2 fold change,KRas mutant q-value,KRas mutant log2 fold change,Synthetic Lethal Score
FCGR2B,1,-0.385225564,1,0.311248034,-0.696473598
FCGR3A,1,-0.749598284,1,-0.022659359,-0.726938925
FCGR3B,1,-0.452443523,1,0.228592617,-0.68103614
FCGRT,1,-0.691138498,1,-0.036574156,-0.654564342
FCHO1,1,0.303805915,1,-0.01750238,0.321308295
FCHO2,1,0.096433376,1,-0.217845015,0.314278391
FCHSD1,1,0.078666701,1,-0.032599226,0.111265927
FCHSD2,1,0.335206267,1,0.192522766,0.142683501
FCN1,1,-0.435618277,1,0.232066832,-0.667685109
FCN2,1,-0.13696748,1,-0.22197124,0.08500376
FCN3,1,-0.666863322,1,0.190444237,-0.857307559
FCRL1,1,0.41688864,1,0.261544839,0.155343801
FCRL2,1,0.276196654,1,0.170240906,0.105955748
FCRL3,1,0.345942331,1,0.14624654,0.199695791
FCRL4,1,0.115819366,1,0.147240568,-0.031421203
FCRL5,1,-0.142271447,1,-0.217706226,0.075434779
FCRL6,1,0.33001828,1,0.362086528,-0.032068248
FCRLA,1,0.189792977,1,0.101279165,0.088513811
FCRLB,1,0.310812152,1,0.144988882,0.165823269
FDCSP,1,0.485159212,1,0.190811752,0.29434746
FDFT1,1,-0.271159133,1,0.417421082,-0.688580215
FDPS,1,-0.642238715,1,0.036407607,-0.678646322
FDXACB1,1,0.141839277,1,-0.011617649,0.153456926
FEM1A,1,-0.056704494,1,-0.249207411,0.192502917
FEM1B,1,0.331166337,1,0.047716653,0.283449684
FEM1C,1,0.282702247,1,-0.074375609,0.357077856
FER,1,-0.385995466,1,0.370804637,-0.756800102
FER1L6,1,0.324989886,1,0.185041195,0.139948691
FERD3L,1,0.246329209,1,0.26323438,-0.016905172
FERMT1,1,0.328564909,1,-0.073478792,0.402043701
FERMT3,1,-0.65675328,1,-0.094289114,-0.562464166
FES,1,-0.222517446,1,0.128297806,-0.350815252
FETUB,1,0.163259492,1,0.073390689,0.089868803
FEV,1,0.102609713,1,-0.046491883,0.149101595
FEZ1,1,0.106307702,1,-0.112680696,0.218988397
FEZ2,1,0.256988417,1,-0.108652737,0.365641154
FEZF1,1,0.445677158,1,0.39897287,0.046704288
FEZF2,1,0.221974866,1,0.056563148,0.165411718
FFAR1,1,-0.509072856,1,0.113473329,-0.622546184
FFAR2,1,-0.480733929,1,0.226851603,-0.707585532
FFAR4,1,-0.323031896,1,0.320335259,-0.643367156
FGA,1,-0.359960006,1,-0.093793859,-0.266166148
FGB,1,-0.262815749,1,0.262050714,-0.524866463
FGD1,1,0.288324393,1,0.144245229,0.144079165
FGD2,1,0.211335449,1,-0.004164219,0.215499668
FGD3,1,0.129425358,1,0.005128079,0.12429728
FGD4,1,0.305273535,1,0.249295199,0.055978336
FGD5,1,0.112928411,1,0.064213267,0.048715144
FGD6,1,0.453057981,1,0.286196045,0.166861936
FGF1,1,-0.363591738,1,0.270049425,-0.633641163
FGF11,1,0.225842194,1,0.11299074,0.112851454
FGF12,1,0.3553454,1,0.314404524,0.040940876
FGF13,1,-0.114059037,1,0.47385122,-0.587910258
FGF14,1,0.328094657,1,0.024161663,0.303932995
FGF17,1,0.222749489,1,0.136200919,0.086548569
FGF18,1,0.188725053,1,0.101926518,0.086798535
FGF19,1,0.185407505,1,0.039531126,0.145876379
FGF2,1,-0.442786264,1,0.241093591,-0.683879855
FGF20,1,0.370559091,1,0.319467595,0.051091496
FGF21,1,0.351321316,1,0.265580517,0.085740799
FGF22,1,0.002616711,1,-0.185475505,0.188092215
FGF23,1,0.317703682,1,0.159242515,0.158461167
FGF3,1,0.32323736,1,0.144006941,0.179230419
FGF4,1,-0.413745544,1,0.254328092,-0.668073637
FGF6,1,0.342080178,1,0.20535821,0.136721968
FGF7,1,0.164213541,1,-0.332707745,0.496921286
FGF9,1,0.374540699,1,0.203717442,0.170823257
FGFBP1,1,0.403498497,1,0.044845328,0.358653169
FGFBP2,1,0.272460079,1,0.00046093,0.271999149
FGFBP3,1,0.058854302,1,-0.118351253,0.177205555
FGFR1,1,-0.515531257,1,0.192176631,-0.707707888
FGFR1OP2,1,0.166899143,1,0.137686341,0.029212802
FGFR2,1,-0.449820165,1,0.024377002,-0.474197167
FGFR3,1,-0.453145185,1,-0.018115152,-0.435030033
FGFR4,1,-0.580562996,1,0.147070353,-0.727633349
FGFRL1,1,-0.389540054,1,0.1574515,-0.546991554
FGG,1,-0.057477401,1,0.241640564,-0.299117965
FGGY,1,0.363799648,1,0.404838239,-0.041038591
FGL1,1,0.330599681,1,0.079462327,0.251137355
FGL2,1,-0.264253177,1,0.276100693,-0.540353869
FGR,1,-0.624444282,1,0.059609068,-0.684053351
FHDC1,1,0.084094489,1,-0.017314541,0.101409031
FHIT,1,-0.559902095,1,0.011351765,-0.57125386
FHL1,1,0.285952554,1,0.311401979,-0.025449425
FHL2,1,0.274380571,1,0.207447168,0.066933402
FHL3,1,0.223266814,1,0.087134492,0.136132323
FHL5,1,0.416323661,1,0.420950233,-0.004626572
FHOD1,1,0.260440169,1,-0.072725875,0.333166044
FIBCD1,1,-0.331859459,1,0.206798194,-0.538657654
FIBIN,1,0.315391084,1,0.191832155,0.123558929
FIBP,1,0.142928729,1,-0.336855543,0.479784273
FICD,1,0.270888386,1,0.008852157,0.262036228
FIG4,1,-0.482730095,1,0.187401358,-0.670131453
FIGF,1,0.375185846,1,0.262184788,0.113001058
FIGLA,1,0.176750723,1,-0.022209734,0.198960456
FIGNL1,1,-0.542824939,1,0.289051699,-0.831876639
FILIP1,1,0.163255207,1,-0.099784488,0.263039694
FILIP1L,1,0.114678543,1,0.02699848,0.087680063
FITM1,1,0.104023065,1,-0.223383495,0.32740656
FITM2,1,-0.12379134,1,-0.023330634,-0.100460706
FIZ1,1,0.261694302,1,0.199727552,0.061966751
FJX1,1,0.167632913,1,-0.008911313,0.176544227
FKBP10,1,-0.825913168,1,-0.085015066,-0.740898102
FKBP11,1,-0.389288959,1,0.22058771,-0.609876669
FKBP14,1,-0.33196291,1,0.28451572,-0.61647863
FKBP15,1,-0.572488091,1,0.174431084,-0.746919175
FKBP1A,1,-0.284903768,1,0.353405231,-0.638308998
FKBP1B,1,-0.52181565,1,0.32682985,-0.8486455
FKBP2,1,-0.896020933,1,-0.172864381,-0.723156552
FKBP3,1,-0.553164175,1,0.164909569,-0.718073744
FKBP4,1,-0.594701631,1,0.137248547,-0.731950178
FKBP5,1,-0.587661158,1,0.039995463,-0.627656622
FKBP6,1,0.133649619,1,-0.206896095,0.340545714
FKBP7,1,-0.395240255,1,0.413011975,-0.80825223
FKBP8,1,-0.686150727,1,0.088146544,-0.774297271
FKBP9,1,0.171014892,1,0.004099653,0.166915239
FKRP,1,0.319900123,1,0.123676561,0.196223562
FKTN,1,0.342461619,1,0.335318079,0.00714354
FLAD1,1,-0.413695037,1,0.22400611,-0.637701146
FLG,1,0.134618816,1,0.125447603,0.009171214
FLG2,1,0.280523415,1,0.288901375,-0.00837796
FLI1,1,0.3946333,1,0.34565994,0.04897336
FLNA,1,0.39381543,1,0.061926108,0.331889322
FLNB,1,0.321308831,1,0.14081974,0.180489091
FLNC,1,0.16272102,1,-0.032997715,0.195718735
FLOT2,1,0.270799122,1,-0.033719466,0.304518588
FLRT1,1,0.279767006,1,-0.065780688,0.345547695
FLRT2,1,0.423054356,1,0.295425382,0.127628974
FLRT3,1,0.309962579,1,0.277931901,0.032030678
FLT1,1,-0.216849786,1,0.135257978,-0.352107765
FLT3,0.720311,-0.452617585,1,0.20743979,-0.660057375
FLT3LG,1,0.128943687,1,-0.222013177,0.350956864
FLT4,1,-0.334991814,1,0.353508756,-0.68850057
FLVCR1,1,-0.403575746,1,0.200381031,-0.603956777
FLVCR2,1,-0.32825275,1,0.329908113,-0.658160863
FLYWCH1,1,0.021941207,1,-0.123861156,0.145802363
FLYWCH2,1,0.278949358,1,0.246368701,0.032580658
FMN2,1,0.263124423,1,0.141323518,0.121800906
FMNL1,1,0.06801322,1,0.063097702,0.004915518
FMNL3,1,0.045801211,1,-0.156954442,0.202755653
FMO1,0.726211,-0.351007723,1,0.249833426,-0.600841149
FMO2,1,0.399720668,1,0.13243396,0.267286708
FMO3,1,-0.291964418,1,0.353972914,-0.645937332
FMO4,1,-0.341656523,1,0.307619684,-0.649276207
FMO5,1,-0.251977384,1,0.274949965,-0.526927349
FMOD,1,0.352077449,1,0.180744599,0.171332851
FMR1NB,1,0.408915478,1,0.259132854,0.149782624
FN1,1,-0.47286296,1,0.204148478,-0.677011439
FN3K,1,-0.238551026,1,0.370202875,-0.608753901
FN3KRP,1,-0.596666874,1,0.183997177,-0.780664051
FNBP1,1,-0.655393038,1,0.144572132,-0.79996517
FNBP1L,1,0.124547629,1,0.033948349,0.09059928
FNDC1,1,0.138204297,1,0.058291522,0.079912774
FNDC3B,1,0.299546252,1,-0.075553601,0.375099853
FNDC4,1,0.082807876,1,-0.077088096,0.159895973
FNDC5,1,0.055875058,1,0.017473248,0.03840181
FNDC7,1,0.023131759,1,0.048775057,-0.025643297
FNDC8,1,0.293845345,1,-0.152458815,0.44630416
FNDC9,1,0.135391377,1,-0.075200951,0.210592328
FNIP1,1,0.262430508,1,0.022763078,0.23966743
FNIP2,1,0.2390693,1,0.132992907,0.106076393
FNTA,1,-0.847639741,1,-0.19806941,-0.649570331
FOCAD,1,0.001062857,1,-0.250596577,0.251659433
FOLH1,1,-0.248577151,1,0.409942562,-0.658519713
FOLR1,1,-0.395134315,1,0.198341277,-0.593475592
FOLR2,1,-0.416478949,1,0.10136871,-0.517847659
FOPNL,1,0.408046333,1,0.05135622,0.356690113
FOS,1,-0.366944677,1,0.174563901,-0.541508578
FOSB,1,0.302070483,1,0.309955512,-0.007885029
FOSL2,1,0.187975552,1,-0.040520938,0.22849649
FOXA1,1,0.303273113,1,0.145601405,0.157671708
FOXA2,1,0.346356562,1,0.219171359,0.127185203
FOXA3,1,-0.212131157,1,-0.139371801,-0.072759356
FOXB1,1,0.187022692,1,0.105819402,0.08120329
FOXB2,1,0.158420074,1,-0.026377504,0.184797578
FOXC1,1,0.289448635,1,0.015316356,0.274132279
FOXC2,1,0.462176155,1,0.002878492,0.459297663
FOXD2,1,0.193990257,1,-0.002179811,0.196170068
FOXD3,1,0.293703142,1,0.243960465,0.049742677
FOXD4,1,0.035672623,1,0.110003054,-0.074330431
FOXE1,1,0.321342955,1,0.085404098,0.235938858
FOXE3,1,-0.309783356,1,-0.011535033,-0.298248323
FOXF1,1,0.317584122,1,0.169216643,0.148367479
FOXG1,1,0.056515847,1,-0.002925561,0.059441408
FOXH1,1,0.201624857,1,0.238213534,-0.036588677
FOXI1,1,0.260553437,1,0.224111945,0.036441492
FOXI2,1,0.310472261,1,0.215456199,0.095016062
FOXJ1,1,0.255523801,1,0.086821187,0.168702614
FOXJ2,1,0.165359929,1,-0.075132379,0.240492308
FOXJ3,1,0.129068017,1,0.155965906,-0.026897889
FOXK1,1,0.26990398,1,0.299432337,-0.029528357
FOXK2,1,0.171930392,1,0.064927764,0.107002628
FOXL1,1,0.204455303,1,0.087179446,0.117275858
FOXL2,1,0.324138108,1,0.261380581,0.062757527
FOXN2,1,0.231617456,1,-0.122964211,0.354581667
FOXN3,1,0.24480568,1,0.113532842,0.131272838
FOXN4,1,0.310428083,1,0.162857972,0.147570111
FOXO1,1,0.310899816,1,0.204499937,0.106399878
FOXO3,1,0.265766713,1,0.221208695,0.044558018
FOXO4,1,0.242225399,1,-0.064089748,0.306315147
FOXP1,1,0.312150412,1,0.102905455,0.209244957
FOXP2,1,0.018567546,1,0.069797381,-0.051229835
FOXP3,1,0.236223613,1,0.265150912,-0.028927299
FOXP4,1,0.288818993,1,0.033640104,0.255178889
FOXQ1,1,0.053529739,1,-0.106885449,0.160415188
FOXR1,1,0.395964252,1,0.182657989,0.213306263
FOXR2,1,0.315728537,1,0.340913627,-0.025185091
FOXRED1,1,-0.138379234,1,-0.06179697,-0.076582263
FOXRED2,1,0.027270759,1,-0.226290627,0.253561386
FOXS1,1,0.090173468,1,0.10344722,-0.013273752
FPGT,1,-0.211345928,1,0.321813729,-0.533159658
FPGT-TNNI3K,1,0.323094122,1,0.120174659,0.202919462
FPR1,1,-0.374882862,1,0.300586128,-0.67546899
FPR2,1,0.242348278,1,0.162227328,0.08012095
FPR3,1,0.266186412,1,0.20514024,0.061046172
FRA10AC1,1,0.207071399,1,0.132688644,0.074382755
FRAS1,1,0.317101258,1,0.167813193,0.149288065
FRAT2,1,0.020351342,1,-0.172794952,0.193146294
FREM1,1,0.453993766,1,0.389838905,0.064154861
FREM2,1,0.385145205,1,0.042277081,0.342868124
FREM3,1,0.313648275,1,0.274677347,0.038970929
FRG2,1,-0.025869804,1,-0.192431032,0.166561228
FRG2B,1,0.1337253,1,0.084829253,0.048896047
FRG2C,1,0.235199938,1,0.157877644,0.077322294
FRK,1,-0.306967063,1,0.281502433,-0.588469496
FRMD1,1,0.243145533,1,0.254521316,-0.011375784
FRMD3,1,-0.038011697,1,-0.248049158,0.210037461
FRMD4A,1,0.405557149,1,0.283672784,0.121884365
FRMD4B,1,0.193500466,1,0.06703771,0.126462755
FRMD5,1,0.232255539,1,-0.099176823,0.331432362
FRMD6,1,0.392547309,1,0.231317329,0.16122998
FRMD7,1,0.312751294,1,0.257695029,0.055056266
FRMD8,1,0.221429723,1,0.048920657,0.172509066
FRMPD1,1,0.29559695,1,0.099513635,0.196083315
FRMPD2,1,0.363600924,1,0.178383614,0.18521731
FRMPD4,1,0.41277685,1,0.419533548,-0.006756698
FRRS1,1,-0.825770429,1,0.140550451,-0.96632088
FRRS1L,1,0.323797662,1,0.256957071,0.066840591
FRS2,1,0.232238138,1,0.033323534,0.198914604
FRS3,1,0.192609321,1,0.060457656,0.132151666
FRY,1,0.19669831,1,0.182220427,0.014477882
FRYL,1,0.288353162,1,0.426435236,-0.138082074
FRZB,1,0.240415663,1,0.050226465,0.190189198
FSBP,1,0.20286886,1,-0.079538665,0.282407525
FSCB,1,0.310617135,1,0.075029508,0.235587627
FSCN1,1,0.17582223,1,0.150108846,0.025713384
FSCN2,1,0.138141277,1,-0.051812105,0.189953382
FSCN3,1,0.170117949,1,-0.013585657,0.183703606
FSD1,1,0.31367564,1,-0.001889137,0.315564776
FSD1L,1,0.513839568,1,-0.151870838,0.665710406
FSD2,1,0.024640259,1,-0.079937053,0.104577312
FSHB,1,0.325817053,1,0.384201872,-0.058384819
FSHR,1,-0.273355388,1,0.159296766,-0.432652154
FSIP1,1,0.444649111,1,0.208888695,0.235760416
FSIP2,1,0.365089881,1,0.289860421,0.07522946
FST,1,-0.39144556,1,0.141745602,-0.533191162
FSTL1,1,0.115302032,1,-0.031101849,0.14640388
FSTL4,1,0.15513946,1,-0.072538557,0.227678017
FSTL5,1,0.307295849,1,0.249658081,0.057637768
FTCD,1,-0.606559306,1,-0.014627064,-0.591932242
FTHL17,1,0.352054183,1,0.361619132,-0.009564948
FTL,1,-0.739111481,1,-0.005377113,-0.733734368
FTMT,1,-0.436025154,1,0.130236528,-0.566261682
FTO,1,-0.376861783,1,0.069143374,-0.446005157
FTSJ1,1,-0.341315147,1,0.183250078,-0.524565225
FTSJ2,1,-0.666403353,1,-0.19866306,-0.467740293
FUBP3,1,0.388483142,1,0.211310981,0.177172161
FUCA1,1,-0.400413097,1,0.195751129,-0.596164226
FUCA2,1,-0.569802694,1,0.097962251,-0.667764945
FUK,1,-0.794350164,1,0.044367791,-0.838717955
FUNDC1,1,0.11995454,1,0.144264903,-0.024310363
FUNDC2,1,0.208042528,1,0.102819597,0.105222931
FUOM,1,0.313452959,1,0.205606846,0.107846114
FUS,1,-0.047394133,1,-0.253609068,0.206214935
FUT1,1,-0.643258991,1,0.137915872,-0.781174862
FUT10,1,-0.380459907,1,0.122721828,-0.503181734
FUT2,1,-0.232010945,1,0.297657141,-0.529668085
FUT3,1,-0.589593629,1,0.189456627,-0.779050256
FUT4,1,-0.369914527,1,0.119747783,-0.48966231
FUT5,1,-0.601962782,1,0.143170725,-0.745133507
FUT6,1,-0.388674316,1,0.243118227,-0.631792543
FUT7,1,-0.368370469,1,0.14001424,-0.508384709
FUT8,1,-0.176564231,1,0.222888674,-0.399452904
FUT9,1,-0.16059313,1,0.270654599,-0.431247729
FUZ,1,0.205945708,1,-0.038959415,0.244905123
FXR1,1,-0.361177406,1,0.156065277,-0.517242682
FXR2,1,-0.677224516,1,0.0368855,-0.714110016
FXYD1,1,-0.540486811,1,0.053520066,-0.594006877
FXYD2,1,-0.588676587,1,0.2204679,-0.809144487
FXYD3,1,-0.153949464,1,0.273625237,-0.427574701
FXYD4,1,-0.392137291,1,0.210862136,-0.602999427
FXYD5,1,-0.868305624,1,-0.044403478,-0.823902147
FXYD6,1,-0.711447243,1,-0.103833535,-0.607613709
FXYD6-FXYD2,1,0.242122257,1,-0.21309919,0.455221447
FXYD7,1,-0.236529168,1,0.486248324,-0.722777492
FYB,1,0.248795846,1,0.176705788,0.072090058
FYCO1,1,0.092195969,1,-0.124418484,0.216614453
FYN,1,-0.353948576,1,0.281531932,-0.635480508
FYTTD1,1,0.233348648,1,0.154761568,0.078587081
FZD1,1,-0.296352173,1,0.309044457,-0.60539663
FZD10,1,-0.339942811,1,0.40675457,-0.746697381
FZD2,1,-0.62586808,1,0.129739127,-0.755607207
FZD3,1,0.311034448,1,0.211468996,0.099565452
FZD4,1,-0.280568347,1,0.350248064,-0.630816411
FZD5,1,-0.271343082,1,0.311485974,-0.582829056
FZD6,1,-0.620984781,1,0.089052958,-0.710037739
FZD8,1,-0.383068548,1,0.26404923,-0.647117778
FZD9,1,-0.603078081,1,0.046838038,-0.649916119
FZR1,1,-1.205158732,1,-0.022407419,-1.182751314
G0S2,1,0.206060974,1,0.317610786,-0.111549811
G2E3,1,-0.496612133,1,-0.28338421,-0.213227923
G3BP1,1,-0.655668558,1,0.003449067,-0.659117626
G3BP2,1,-0.355012974,1,-0.123813675,-0.2311993
G6PC,1,-0.593160932,1,0.078229021,-0.671389953
G6PC2,1,-0.335677234,1,0.363843489,-0.699520723
G6PC3,1,-0.474805743,1,0.160838097,-0.63564384
G6PD,1,-0.931242279,1,0.010590611,-0.94183289
GAA,1,-0.49433848,1,0.215807037,-0.710145517
GAB1,1,-0.000426628,1,-0.033571139,0.033144511
GAB2,1,0.098808761,1,-0.02221811,0.121026871
GAB3,1,-0.090341759,1,-0.085762565,-0.004579194
GAB4,1,0.165783247,1,-0.049988587,0.215771835
GABARAP,1,-0.480610474,1,0.128268414,-0.608878888
GABARAPL1,1,0.326256696,1,0.220249577,0.106007119
GABARAPL2,1,0.364171103,1,0.244826531,0.119344572
GABBR1,1,-0.523169566,1,-0.032675834,-0.490493732
GABBR2,1,-0.595346863,1,0.114443393,-0.709790256
GABPB2,1,-0.27222225,1,-0.594134156,0.321911906
GABRA1,1,-0.198327594,1,0.354365242,-0.552692835
GABRA2,1,-0.278227519,1,0.441915114,-0.720142633
GABRA3,1,-0.1211893,1,0.346569988,-0.467759288
GABRA4,1,-0.378198084,1,0.159304914,-0.537502998
GABRA5,1,-0.331166672,1,0.172527121,-0.503693793
GABRA6,1,-0.272355713,1,0.313023334,-0.585379047
GABRB1,1,-0.416442714,1,0.189906705,-0.606349419
GABRB2,1,-0.426509816,1,0.286286063,-0.71279588
GABRB3,1,-0.256465743,1,0.344866608,-0.601332351
GABRD,1,-0.40875684,1,0.15414202,-0.56289886
GABRE,1,-0.352161391,1,0.352658555,-0.704819946
GABRG1,1,0.041017818,1,0.560187408,-0.519169591
GABRG2,1,-0.305742581,1,0.455929725,-0.761672306
GABRG3,1,-0.273537598,1,0.431655896,-0.705193494
GABRP,1,-0.364900042,1,0.284606613,-0.649506654
GABRQ,1,-0.352544367,1,0.242254009,-0.594798376
GABRR1,1,-0.378878393,1,0.31397884,-0.692857232
GABRR2,1,-0.421813169,1,0.174307625,-0.596120794
GAD1,1,-0.335310483,1,0.217470292,-0.552780774
GAD2,1,-0.563320853,1,0.202353121,-0.765673974
GADD45A,1,0.246950625,1,-0.084896802,0.331847428
GADD45B,1,0.205495722,1,-0.080500207,0.285995929
GADD45G,1,0.281869087,1,0.176823814,0.105045273
GADL1,1,-0.175210663,1,0.252178898,-0.427389561
GAGE10,1,0.222179997,1,0.01249525,0.209684747
GAGE12H,1,0.369076257,1,0.034676075,0.334400182
GAGE12J,1,0.245995938,1,-0.042912172,0.28890811
GAGE2A,1,0.282042275,1,0.060519288,0.221522988
GAL3ST1,1,-0.551988908,1,0.03194707,-0.583935978
GAL3ST2,1,0.236139087,1,0.044234713,0.191904374
GAL3ST3,1,-0.60897192,1,0.025005447,-0.633977367
GAL3ST4,1,-0.40413952,1,0.249099601,-0.653239121
GALC,1,-0.388054986,1,0.272453865,-0.660508851
GALE,1,-0.515330782,1,0.123462093,-0.638792875
GALK1,1,-0.948027921,1,-0.089567488,-0.858460433
GALK2,1,-0.417096265,1,0.082860903,-0.499957168
GALM,1,-0.391647301,1,0.255470308,-0.647117609
GALNS,1,-0.731604534,1,-0.054576989,-0.677027545
GALNT1,1,-0.194908515,1,0.156193313,-0.351101828
GALNT10,1,-0.422282146,1,0.206514912,-0.628797057
GALNT11,1,-0.479318319,1,0.113273388,-0.592591706
GALNT12,1,-0.570588451,1,0.210455462,-0.781043913
GALNT13,1,-0.107209899,1,0.273298155,-0.380508054
GALNT14,1,-0.499961022,1,0.172119626,-0.672080648
GALNT15,1,-0.914478885,1,-0.122357809,-0.792121076
GALNT16,1,-0.530147789,1,0.28480496,-0.814952749
GALNT18,1,-0.494145818,1,0.032075241,-0.526221058
GALNT2,1,-0.360067206,1,0.230209099,-0.590276305
GALNT3,1,-0.235026331,1,0.338366994,-0.573393325
GALNT4,1,-0.629746915,1,0.218017808,-0.847764722
GALNT5,1,-0.36305324,1,0.10982436,-0.4728776
GALNT6,1,-0.715781768,1,0.05184838,-0.767630148
GALNT7,1,0.249941996,1,0.185158599,0.064783397
GALNT8,1,-0.274266173,1,0.32314339,-0.597409563
GALNT9,1,-0.789992484,1,-0.059290615,-0.730701869
GALNTL6,1,-0.586827475,1,0.023121877,-0.609949352
GALP,1,0.083198719,1,-0.157713603,0.240912322
GALR2,1,-0.300076539,1,0.294963054,-0.595039593
GALR3,1,-0.609859148,1,-0.04241722,-0.567441928
GALT,1,-0.550450024,1,0.00854482,-0.558994844
GAMT,1,-0.430698295,1,0.117654815,-0.54835311
GAN,1,-0.638653682,1,0.059389922,-0.698043605
GANC,1,-0.732437175,1,-0.06903055,-0.663406625
GAPT,1,0.355492302,1,0.159338333,0.196153968
GAPVD1,1,0.286230697,1,0.182862061,0.103368636
GAREM,1,0.454675615,1,0.171452885,0.28322273
GAREML,1,0.249915782,1,-0.027295471,0.277211253
GARNL3,1,0.115443912,1,0.001140846,0.114303066
GAS2,1,0.233278352,1,0.162497066,0.070781286
GAS2L3,1,0.379062719,1,0.432069686,-0.053006967
GAS6,1,0.187007632,1,0.068891655,0.118115978
GAS7,1,0.25853359,1,0.02078837,0.23774522
GAST,1,0.292064108,1,-0.01501773,0.307081838
GATA1,1,0.360509369,1,0.283127684,0.077381684
GATA2,1,0.143861179,1,-0.129526722,0.273387901
GATA3,1,0.32008901,1,0.275847019,0.044241991
GATA4,1,0.382613556,1,0.293500821,0.089112735
GATA5,1,0.123038309,1,0.109168648,0.013869661
GATA6,1,0.341371809,1,0.135476532,0.205895277
GATAD1,1,-0.007803797,1,-0.144145912,0.136342115
GATAD2B,1,0.3394874,1,0.11177341,0.22771399
GATM,1,-0.383863599,1,0.184420494,-0.568284093
GATS,1,0.303498624,1,0.295495359,0.008003266
GATSL1,1,0.169690252,1,0.011057568,0.158632684
GATSL3,1,0.185081102,1,0.003077996,0.182003106
GBA,1,-0.214578244,1,0.292793843,-0.507372087
GBA2,1,-0.412782035,1,0.237914248,-0.650696283
GBAS,1,0.20005577,1,-0.00117745,0.20123322
GBE1,1,-0.39289692,1,0.35261559,-0.74551251
GBGT1,1,-0.514696546,1,0.204881847,-0.719578393
GBP1,1,-0.409981961,1,0.100431127,-0.510413088
GBP2,1,-0.604706426,1,0.236745826,-0.841452251
GBP3,1,-0.385892897,1,0.324305181,-0.710198078
GBP4,1,-0.315809237,1,0.186379902,-0.502189139
GBP5,1,-0.267727534,1,0.061217046,-0.328944579
GBP6,1,-0.5138411,1,0.023515907,-0.537357007
GBP7,1,-0.493048242,1,0.247426561,-0.740474803
GBX1,1,0.228918109,1,0.104970646,0.123947463
GBX2,1,0.050383408,1,0.036751021,0.013632386
GC,1,-0.329788893,1,0.16449233,-0.494281223
GCA,1,0.304951646,1,0.165753245,0.139198402
GCAT,1,-0.620448284,1,0.016655466,-0.63710375
GCC1,1,0.282750661,1,0.120390065,0.162360596
GCC2,1,0.379075637,1,0.198244109,0.180831528
GCDH,1,-0.631520096,1,-0.067726016,-0.563794081
GCFC2,1,0.241567224,1,-0.068419778,0.309987002
GCG,1,0.345996489,1,0.26642794,0.079568548
GCGR,1,-0.265369194,1,0.357676026,-0.62304522
GCH1,1,-0.337679704,1,0.331479921,-0.669159625
GCHFR,1,0.128285593,1,0.087685514,0.040600079
GCK,0.654401,-0.77917605,1,0.020801609,-0.799977659
GCKR,1,0.44182408,1,0.212880975,0.228943105
GCLC,1,-0.316798953,1,0.118202161,-0.435001114
GCLM,1,-0.478536957,1,0.212015182,-0.690552139
GCM1,1,0.204683988,1,-0.006865576,0.211549564
GCM2,1,0.359312116,1,0.27274555,0.086566566
GCNT2,1,-0.506523457,1,0.101553408,-0.608076865
GCNT3,1,-0.656658962,1,0.270363094,-0.927022056
GCNT4,1,-0.262336845,1,0.237052626,-0.499389471
GCOM1,1,0.225946762,1,0.15504295,0.070903812
GCSAM,1,0.307845745,1,0.328377058,-0.020531313
GCSAML,1,0.36885903,1,0.262280576,0.106578454
GDA,1,0.304839165,1,0.222153048,0.082686117
GDAP1,1,0.331789799,1,0.265925846,0.065863953
GDAP1L1,1,0.230073922,1,-0.05077779,0.280851712
GDAP2,1,0.263034812,1,-0.21954095,0.482575762
GDF10,1,0.116889976,1,-0.058120534,0.17501051
GDF15,1,0.32645388,1,0.201311785,0.125142095
GDF3,1,0.338158458,1,0.30624631,0.031912148
GDF5,1,0.153357463,1,-0.128342009,0.281699472
GDF6,1,0.226678393,1,0.034471239,0.192207154
GDF7,1,0.211870855,1,0.088535565,0.12333529
GDF9,1,0.302824685,1,0.24220275,0.060621935
GDI1,1,-0.052765197,1,0.373221784,-0.425986981
GDI2,1,0.32498633,1,0.358420819,-0.033434489
GDNF,1,0.386562637,1,0.259825009,0.126737628
GDPD1,1,-0.428545018,1,0.13522163,-0.563766648
GDPD2,1,-0.409264644,1,0.362332761,-0.771597405
GDPD3,1,-1.07052682,1,-0.208550947,-0.861975873
GDPD4,1,-0.338325133,1,0.353250559,-0.691575691
GDPD5,1,0.234898966,1,0.088950613,0.145948352
GDPGP1,1,0.136869405,1,-0.32646322,0.463332625
GEM,1,-0.396497849,1,0.122172319,-0.518670168
GEN1,0.902052,-1.166057939,1,-0.462491876,-0.703566063
GFAP,1,0.124489995,1,-0.020094021,0.144584017
GFI1,1,0.191918557,1,0.054076371,0.137842186
GFI1B,1,-0.512818253,1,-0.005041291,-0.507776963
GFM2,1,-0.696817611,1,-0.124217659,-0.572599952
GFOD1,1,-0.261292858,1,0.390341796,-0.651634654
GFOD2,1,-0.32551257,1,0.420042821,-0.745555392
GFPT2,1,-0.270546552,1,0.33393985,-0.604486402
GFRA1,1,-0.453389028,1,0.168213681,-0.621602709
GFRA2,1,-0.616770364,1,0.093043959,-0.709814322
GFRA3,1,-0.46940662,1,0.305178493,-0.774585114
GFRA4,1,-0.609838756,1,0.224819609,-0.834658365
